Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
,"Total",7827,100.00,3564,4263
1,"Kaufmann/-frau EFZ Erweiterte Grundbildung",808,10.32,498,310
2,"Kaufmann/-frau EFZ",699,8.93,402,297
3,"Fachmann/-frau Gesundheit EFZ",518,6.62,447,71
4,"Fachmann/-frau Betreuung EFZ",485,6.20,389,96
5,"Detailhandelsfachmann/-frau EFZ",472,6.03,234,238
6,"Informatiker/in EFZ",323,4.13,28,295
7,"Elektroinstallateur/in EFZ",285,3.64,3,282
8,"Polymechaniker/in EFZ",213,2.72,3,210
9,"Dentalassistent/in EFZ",187,2.39,183,4
10,"Logistiker/in EFZ",178,2.27,12,166
11,"Medizinische/r Praxisassistent/in EFZ",174,2.22,169,5
11,"Zeichner/in EFZ",174,2.22,61,113
13,"Kaufmann/-frau EFZ Basis-Grundbildung",149,1.90,83,66
14,"Koch/Köchin EFZ",136,1.74,45,91
15,"Pharma-Assistent/in EFZ",127,1.62,124,3
16,"Detailhandelsassistent/in EBA",125,1.60,61,64
17,"Automobil-Fachmann/-frau EFZ",114,1.46,4,110
18,"Fachmann/-frau Betriebsunterhalt EFZ",103,1.32,2,101
19,"Schreiner/in EFZ",100,1.28,13,87
20,"Automatiker/in EFZ",92,1.18,2,90
21,"Konstrukteur/in EFZ",89,1.14,17,72
22,"Montage-Elektriker/in EFZ",88,1.12,0,88
23,"Coiffeur/-euse EFZ",83,1.06,70,13
24,"Zimmermann/Zimmerin EFZ",80,1.02,3,77
25,"Assistent/in Gesundheit und Soziales EBA",76,0.97,61,15
26,"Gärtner/in EFZ",75,0.96,12,63
27,"Automobil-Mechatroniker/in EFZ",69,0.88,1,68
28,"Sanitärinstallateur/in EFZ",68,0.87,1,67
29,"Hotelfachmann/-frau EFZ",63,0.80,53,10
30,"Maurer/in EFZ",61,0.78,0,61
30,"Mediamatiker/in EFZ",61,0.78,22,39
32,"Elektroniker/in EFZ",54,0.69,7,47
33,"Maler/in EFZ",48,0.61,16,32
34,"Anlehre: INSOS Pra",47,0.60,23,24
35,"Laborant/in EFZ",44,0.56,24,20
36,"Augenoptiker/in EFZ",41,0.52,31,10
36,"Heizungsinstallateur/in EFZ",41,0.52,0,41
38,"Bäcker/in-Konditor/in-Confiseur/in EFZ",40,0.51,27,13
39,"Drogist/in EFZ",39,0.50,38,1
